Date,Symbol,Close
3/11/2016,INTU,99.96
3/14/2016,INTU,99.43
3/15/2016,INTU,99.33
3/16/2016,INTU,100.29
3/17/2016,INTU,100.83
3/18/2016,INTU,102.01
3/21/2016,INTU,102.01
3/22/2016,INTU,102.15
3/23/2016,INTU,101.7
3/24/2016,INTU,101.89
3/28/2016,INTU,102.05
3/29/2016,INTU,102.57
3/30/2016,INTU,103.18
3/31/2016,INTU,104.01
4/1/2016,INTU,104.69
4/4/2016,INTU,104.96
4/5/2016,INTU,103.9
4/6/2016,INTU,105.13
4/7/2016,INTU,103.17
4/8/2016,INTU,103.38
4/11/2016,INTU,102.62
4/12/2016,INTU,102.71
4/13/2016,INTU,103.31
4/14/2016,INTU,102.93
4/15/2016,INTU,102.83
4/18/2016,INTU,103.79
4/19/2016,INTU,103.92
4/20/2016,INTU,103.74
4/21/2016,INTU,102.3
4/22/2016,INTU,102.33
4/25/2016,INTU,102.36
4/26/2016,INTU,103.92
4/27/2016,INTU,103.51
4/28/2016,INTU,101.37
4/29/2016,INTU,100.89
5/2/2016,INTU,102.21
5/3/2016,INTU,101.4
5/4/2016,INTU,99.89
5/5/2016,INTU,100.4
5/6/2016,INTU,101.04
5/9/2016,INTU,101.67
5/10/2016,INTU,102.8
5/11/2016,INTU,102.32
5/12/2016,INTU,102.21
5/13/2016,INTU,102.03
5/16/2016,INTU,103.73
5/17/2016,INTU,102.15
5/18/2016,INTU,102.7
5/19/2016,INTU,101.42
5/20/2016,INTU,103.03
5/23/2016,INTU,104.62
5/24/2016,INTU,107.31
5/25/2016,INTU,105.02
5/26/2016,INTU,106.83
5/27/2016,INTU,107.89
5/31/2016,INTU,106.66
6/1/2016,INTU,107.2
6/2/2016,INTU,108.12
6/3/2016,INTU,107.45
6/6/2016,INTU,108.13
6/7/2016,INTU,108.45
6/8/2016,INTU,107.43
6/9/2016,INTU,107.52
6/10/2016,INTU,106.44
6/13/2016,INTU,105.66
6/14/2016,INTU,106.22
6/15/2016,INTU,106.28
6/16/2016,INTU,106.49
6/17/2016,INTU,105.36
6/20/2016,INTU,107.35
6/21/2016,INTU,107.9
6/22/2016,INTU,106.45
6/23/2016,INTU,108.95
6/24/2016,INTU,105.33
6/27/2016,INTU,104.18
6/28/2016,INTU,105.99
6/29/2016,INTU,109.29
6/30/2016,INTU,111.61
7/1/2016,INTU,111.91
7/5/2016,INTU,112.74
7/6/2016,INTU,113.28
7/7/2016,INTU,114.25
7/8/2016,INTU,115.48
7/11/2016,INTU,115.63
7/12/2016,INTU,116.34
7/13/2016,INTU,115.92
7/14/2016,INTU,116.39
7/15/2016,INTU,114.98
7/18/2016,INTU,115.25
7/19/2016,INTU,114.78
7/20/2016,INTU,114.79
7/21/2016,INTU,113.19
7/22/2016,INTU,114.06
7/25/2016,INTU,113.95
7/26/2016,INTU,113.62
7/27/2016,INTU,112.54
7/28/2016,INTU,112.04
7/29/2016,INTU,110.99
8/1/2016,INTU,110.76
8/2/2016,INTU,109.22
8/3/2016,INTU,109.83
8/4/2016,INTU,109.9
8/5/2016,INTU,111.49
8/8/2016,INTU,112.02
8/9/2016,INTU,112.13
8/10/2016,INTU,112.86
8/11/2016,INTU,113.15
8/12/2016,INTU,112.09
8/15/2016,INTU,113.32
8/16/2016,INTU,112.47
8/17/2016,INTU,112.74
8/18/2016,INTU,112.54
8/19/2016,INTU,112.8
8/22/2016,INTU,112.54
8/23/2016,INTU,113.84
8/24/2016,INTU,109.85
8/25/2016,INTU,110
8/26/2016,INTU,110.32
8/29/2016,INTU,110.76
8/30/2016,INTU,111.15
8/31/2016,INTU,111.45
9/1/2016,INTU,112.34
9/2/2016,INTU,112.07
9/6/2016,INTU,111.37
9/7/2016,INTU,111.97
9/8/2016,INTU,110.96
9/9/2016,INTU,109.25
9/12/2016,INTU,109.54
9/13/2016,INTU,106.7
9/14/2016,INTU,108.11
9/15/2016,INTU,109.76
9/16/2016,INTU,109
9/19/2016,INTU,108.98
9/20/2016,INTU,108.97
9/21/2016,INTU,110.78
9/22/2016,INTU,110.76
9/23/2016,INTU,109.9
9/26/2016,INTU,108.98
9/27/2016,INTU,110.11
9/28/2016,INTU,110.18
9/29/2016,INTU,109.31
9/30/2016,INTU,110.01
10/3/2016,INTU,109.16
10/4/2016,INTU,109.37
10/5/2016,INTU,108.61
10/6/2016,INTU,108.84
10/7/2016,INTU,107.45
10/10/2016,INTU,108.15
10/11/2016,INTU,106.99
10/12/2016,INTU,107.53
10/13/2016,INTU,106.8
10/14/2016,INTU,106.99
10/17/2016,INTU,106.88
10/18/2016,INTU,107.15
10/19/2016,INTU,108.19
10/20/2016,INTU,107.9
10/21/2016,INTU,108.45
10/24/2016,INTU,109.63
10/25/2016,INTU,108.32
10/26/2016,INTU,107.82
10/27/2016,INTU,107.31
10/28/2016,INTU,108.17
10/31/2016,INTU,108.74
11/1/2016,INTU,107.39
11/2/2016,INTU,106.2
11/3/2016,INTU,105.6
11/4/2016,INTU,105.28
11/7/2016,INTU,107.9
11/8/2016,INTU,108.35
11/9/2016,INTU,109.36
11/10/2016,INTU,109.23
11/11/2016,INTU,111.38
11/14/2016,INTU,110.01
11/15/2016,INTU,110.9
11/16/2016,INTU,110.86
11/17/2016,INTU,113.8
11/18/2016,INTU,115.98
11/21/2016,INTU,115.67
11/22/2016,INTU,116.43
11/23/2016,INTU,115.82
11/25/2016,INTU,116.07
11/28/2016,INTU,115.71
11/29/2016,INTU,116.16
11/30/2016,INTU,113.68
12/1/2016,INTU,113.37
12/2/2016,INTU,113.26
12/5/2016,INTU,114.89
12/6/2016,INTU,114.53
12/7/2016,INTU,116.61
12/8/2016,INTU,117.67
12/9/2016,INTU,116.98
12/12/2016,INTU,116.03
12/13/2016,INTU,117.79
12/14/2016,INTU,117.67
12/15/2016,INTU,117.78
12/16/2016,INTU,117.31
12/19/2016,INTU,118.15
12/20/2016,INTU,118.39
12/21/2016,INTU,117.69
12/22/2016,INTU,116.91
12/23/2016,INTU,116.92
12/27/2016,INTU,116.9
12/28/2016,INTU,115.46
12/29/2016,INTU,114.92
12/30/2016,INTU,114.61
1/3/2017,INTU,114.75
1/4/2017,INTU,114.98
1/5/2017,INTU,115.69
1/6/2017,INTU,116.86
1/9/2017,INTU,116.51
1/10/2017,INTU,116.11
1/11/2017,INTU,116.38
1/12/2017,INTU,117.04
1/13/2017,INTU,117.1
1/17/2017,INTU,116.09
1/18/2017,INTU,115.79
1/19/2017,INTU,115.95
1/20/2017,INTU,117.1
1/23/2017,INTU,117.1
1/24/2017,INTU,118.75
1/25/2017,INTU,120.01
1/26/2017,INTU,118.46
1/27/2017,INTU,118.59
1/30/2017,INTU,118.53
1/31/2017,INTU,118.58
2/1/2017,INTU,117.71
2/2/2017,INTU,117.83
2/3/2017,INTU,118.37
2/6/2017,INTU,117.89
2/7/2017,INTU,117.48
2/8/2017,INTU,116.55
2/9/2017,INTU,116.09
2/10/2017,INTU,117.53
2/13/2017,INTU,118.4
2/14/2017,INTU,118.84
2/15/2017,INTU,118.95
2/16/2017,INTU,119.24
2/17/2017,INTU,119.86
2/21/2017,INTU,119.87
2/22/2017,INTU,119.43
2/23/2017,INTU,120.7
2/24/2017,INTU,128.01
2/27/2017,INTU,125.85
2/28/2017,INTU,125.44
3/1/2017,INTU,124.53
3/2/2017,INTU,125.17
3/3/2017,INTU,126.45
3/6/2017,INTU,126.1
3/7/2017,INTU,125.4
3/8/2017,INTU,125.6
3/9/2017,INTU,124.76
3/10/2017,INTU,124.94
3/13/2017,INTU,124.95
